19,234,74,278
75,491,126,548
510,702,738,648
502,376,754,335
540,356,766,318
548,684,753,629
65,273,126,317
483,404,707,371
484,445,708,408
486,433,708,396
71,305,133,348
96,428,153,476
129,443,204,485
137,481,212,525
100,467,162,515
116,461,183,508
164,457,260,491
168,495,259,531
317,522,476,523
296,568,461,568
281,559,443,564
267,552,422,562
255,548,403,559
241,540,384,559
228,536,368,554
360,541,534,530
344,535,516,528
457,580,659,546
437,570,636,543
421,566,616,539
405,559,595,539
490,591,703,553
493,641,702,595
464,641,687,600
413,620,621,593
323,563,507,558
366,468,550,459
555,87,449,106
259,157,10,209
273,115,25,162
293,119,46,164
322,66,75,106
366,123,135,162
85,227,140,264
690,289,784,254
680,509,774,463
114,603,193,658
82,550,148,611
910,653,853,569
955,441,871,385
