589,197,513,182
642,205,573,188
567,693,524,700
509,697,460,702
528,629,472,629
457,697,409,695
392,721,326,714
354,739,280,728
330,742,247,731
276,760,184,741
214,772,124,748
379,171,268,178
439,193,331,195
449,220,358,221
494,290,435,291
513,265,445,260
557,270,498,266
679,138,595,114
739,142,648,110
805,214,766,183
848,78,806,26
801,217,764,179
863,211,867,169
790,695,774,727
760,682,742,711
701,693,673,716
716,612,679,625
769,606,748,619
781,327,739,309
753,208,692,176
666,715,602,739
493,457,432,457
451,387,396,387
427,452,372,456
420,694,379,688
366,607,282,603
366,629,282,628
330,666,255,659
233,202,238,222
98,649,134,639
474,66,495,66
471,168,497,164
461,225,481,219
859,360,875,342
853,404,873,396
849,471,870,473
840,551,862,564
829,660,859,691
871,444,926,439
854,664,919,697
