176,155,179,155
180,319,181,322
205,318,207,318
199,153,200,156
420,155,421,157
419,317,421,318
455,119,453,122
455,319,456,318
708,114,708,117
708,316,708,310
749,136,752,136
751,298,751,293
725,335,723,334
723,538,724,536
459,340,458,339
460,538,464,540
280,342,279,342
281,558,282,556
95,346,95,346
107,563,103,559
107,577,106,577
108,793,110,792
268,573,269,573
271,785,269,787
290,824,292,826
484,830,486,830
485,569,485,571
642,548,644,549
643,706,644,707
680,725,682,723
602,439,602,438
619,202,619,203
500,162,496,161
455,273,456,278
697,187,698,189
327,623,329,623
357,629,357,632
380,577,381,579
405,571,403,572
532,575,529,574
602,580,604,579
180,751,183,750
210,743,211,741
186,639,187,639
234,596,234,595
132,467,134,465
181,529,182,530
218,466,216,470
366,418,365,421
320,493,321,492
